rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization,YM,name_id,rank_name_id,latest_rank
58,master,Darek Kłeczek,https://www.kaggle.com/thedrcat,4,2,0,49751,Poland,Masovian Voivodeship,Warsaw,"ML Engineer, Growth",Weights & Biases,2022-11,Darek Kłeczek (thedrcat),[Rank: 58] Darek Kłeczek (thedrcat),58.0
59,grandmaster,Bojan Tunguz,https://www.kaggle.com/tunguz,9,17,28,49672,United States,Indiana,Greencastle,Data Scientist,Nvidia,2022-11,Bojan Tunguz (tunguz),[Rank: 59] Bojan Tunguz (tunguz),59.0
60,master,kaggler(통계왕),https://www.kaggle.com/deepkim,1,12,5,49426,South Korea,Gyeonggi-do,Gwacheon-si,Government Officer,Statistics Korea,2022-11,kaggler(통계왕) (deepkim),[Rank: 60] kaggler(통계왕) (deepkim),60.0
61,grandmaster,tereka,https://www.kaggle.com/tereka,9,23,4,49320,Japan,Kanagawa,Yokohama,Senior Data Scientist,Acroquest Technology Co. Ltd.,2022-11,tereka (tereka),[Rank: 61] tereka (tereka),61.0
62,master,UEMU,https://www.kaggle.com/asaliquid1011,2,8,2,49257,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-11,UEMU (asaliquid1011),[Rank: 62] UEMU (asaliquid1011),62.0
63,master,KhanhVD,https://www.kaggle.com/duykhanh99,2,25,8,48629,Vietnam,Hanoi,Hanoi,AI Engineer/ Data Scientist,_,2022-11,KhanhVD (duykhanh99),[Rank: 63] KhanhVD (duykhanh99),63.0
64,master,nnn,https://www.kaggle.com/abbccaabb,1,7,11,47792,Japan,Ibaraki,Sakuragawa,n,n,2022-11,nnn (abbccaabb),[Rank: 64] nnn (abbccaabb),64.0
65,master,ForcewithMe,https://www.kaggle.com/forcewithme,3,11,1,47639,China,Guangdong Province,Guangzhou,Student,kaggle,2022-11,ForcewithMe (forcewithme),[Rank: 65] ForcewithMe (forcewithme),65.0
66,grandmaster,ONODERA,https://www.kaggle.com/onodera,12,14,5,47262,Japan,Tokyo,Shibuya City,Senior Deep Learning Data Scientist,NVIDIA,2022-11,ONODERA (onodera),[Rank: 66] ONODERA (onodera),66.0
67,master,zzy,https://www.kaggle.com/zzy990106,4,6,4,47022,China,Beijing,Beijing,Master student,Peking University,2022-11,zzy (zzy990106),[Rank: 67] zzy (zzy990106),67.0
68,expert,Harm Buisman,https://www.kaggle.com/harmbuisman,1,1,0,46879,Netherlands,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,Harm Buisman (harmbuisman),[Rank: 68] Harm Buisman (harmbuisman),68.0
69,expert,andrekos,https://www.kaggle.com/andrekos,0,9,34,46637,Singapore,UNKOWN,UNKOWN,Lead Data Scientist,H2i,2022-11,andrekos (andrekos),[Rank: 69] andrekos (andrekos),69.0
70,master,Carno Zhao,https://www.kaggle.com/carnozhao,3,2,0,46458,China,Beijing,Beijing,Student,University of Chinese Academy of Sciences,2022-11,Carno Zhao (carnozhao),[Rank: 70] Carno Zhao (carnozhao),70.0
71,master,Ivan Panshin,https://www.kaggle.com/ivanpan,4,8,6,46195,Israel,Haifa District,Haifa,Senior Computer Vision Engineer,Checklens,2022-11,Ivan Panshin (ivanpan),[Rank: 71] Ivan Panshin (ivanpan),71.0
72,master,cmanning,https://www.kaggle.com/cmanning,2,7,5,46108,United States,Virginia,McLean,Retired,UNKOWN,2022-11,cmanning (cmanning),[Rank: 72] cmanning (cmanning),72.0
73,master,kkiller,https://www.kaggle.com/kneroma,3,9,8,45332,France,Île-de-France,Paris,Data Scientist,UNKOWN,2022-11,kkiller (kneroma),[Rank: 73] kkiller (kneroma),73.0
74,master,Ryuichi,https://www.kaggle.com/ryuichigt,2,8,6,44993,Japan,Tokyo,Tokyo,Musician,DentsuDigital,2022-11,Ryuichi (ryuichigt),[Rank: 74] Ryuichi (ryuichigt),74.0
75,expert,Nat Bel ML Fun,https://www.kaggle.com/natbel4ml,0,13,21,44632,UNKOWN,UNKOWN,UNKOWN,San Francisco Bay Area,UNKOWN,2022-11,Nat Bel ML Fun (natbel4ml),[Rank: 75] Nat Bel ML Fun (natbel4ml),75.0
76,master,Prateek,https://www.kaggle.com/prateekagnihotri,4,17,3,44361,India,Delhi,New Delhi,Senior Data Scientist,Clairvoyant (EXL),2022-11,Prateek (prateekagnihotri),[Rank: 76] Prateek (prateekagnihotri),76.0
77,expert,aa,https://www.kaggle.com/uioiuioi,1,1,2,44350,Japan,Tokyo,Tokyo,student,UNKOWN,2022-11,aa (uioiuioi),[Rank: 77] aa (uioiuioi),77.0
78,grandmaster,Isamu,https://www.kaggle.com/yamsam,9,6,3,43330,Japan,Kanagawa,Yokohama,ML Engineer,???,2022-11,Isamu (yamsam),[Rank: 78] Isamu (yamsam),78.0
79,master,Patrick Yam,https://www.kaggle.com/wimwim,4,10,3,42784,Hong Kong,UNKOWN,Hong Kong,UNKOWN,UNKOWN,2022-11,Patrick Yam (wimwim),[Rank: 79] Patrick Yam (wimwim),79.0
80,grandmaster,Y.Nakama,https://www.kaggle.com/yasufuminakama,10,11,5,42782,Japan,Tokyo,Tokyo,Data Scientist,...,2022-11,Y.Nakama (yasufuminakama),[Rank: 80] Y.Nakama (yasufuminakama),80.0
81,master,DiamondH,https://www.kaggle.com/w3579628328,1,4,1,42687,China,Chongqing,Chongqing, Smile,the Luck Fairy,2022-11,DiamondH (w3579628328),[Rank: 81] DiamondH (w3579628328),81.0
82,grandmaster,tito,https://www.kaggle.com/its7171,11,14,0,42522,Japan,Tokyo,Tokyo,Search Engineer,Universal Knowledge Inc.,2022-11,tito (its7171),[Rank: 82] tito (its7171),82.0
83,master,Alex,https://www.kaggle.com/lihuajing,4,9,2,42039,China,Beijing,Beijing,Data Minning,None,2022-11,Alex (lihuajing),[Rank: 83] Alex (lihuajing),83.0
84,master,Tifo,https://www.kaggle.com/fankaixie,3,1,2,41498,China,Beijing,Beijing,Phd Student,UNKOWN,2022-11,Tifo (fankaixie),[Rank: 84] Tifo (fankaixie),84.0
85,expert,Amir Ghazi,https://www.kaggle.com/amirghazi,1,0,1,41366,Iran,Hamadan Province,Hamedan,No one,No where,2022-11,Amir Ghazi (amirghazi),[Rank: 85] Amir Ghazi (amirghazi),85.0
86,grandmaster,poteman,https://www.kaggle.com/poteman,8,16,10,40938,China,Beijing,Beijing,Data Scientist,4Paradigm,2022-11,poteman (poteman),[Rank: 86] poteman (poteman),86.0
87,grandmaster,Vicens Gaitan,https://www.kaggle.com/vicensgaitan,6,23,14,40794,Spain,Catalonia,Barcelona,Chief Data Scientist,Grupo AIA,2022-11,Vicens Gaitan (vicensgaitan),[Rank: 87] Vicens Gaitan (vicensgaitan),87.0
88,grandmaster,Gary,https://www.kaggle.com/garybios,12,11,0,40552,China,Guangdong Province,Shenzhen,overfitting,Kaggle,2022-11,Gary (garybios),[Rank: 88] Gary (garybios),88.0
89,expert,Ray Melius,https://www.kaggle.com/xabonum,0,7,13,40502,Belgium,Brussels,Brussels,Programmer,IT company,2022-11,Ray Melius (xabonum),[Rank: 89] Ray Melius (xabonum),89.0
90,grandmaster,keetar,https://www.kaggle.com/keetar,5,1,0,40240,South Korea,Seoul,Seoul,ML Engineer,Samsung Electronics,2022-11,keetar (keetar),[Rank: 90] keetar (keetar),90.0
91,grandmaster,30CrMnSiA,https://www.kaggle.com/h4211819,8,8,2,40215,China,Beijing,Beijing,DDRK,Beijing,2022-11,30CrMnSiA (h4211819),[Rank: 91] 30CrMnSiA (h4211819),91.0
92,expert,Koki Ando,https://www.kaggle.com/koki25ando,1,0,1,40174,Japan,Tokyo,Tokyo,Data Scientist,Japanese Company,2022-11,Koki Ando (koki25ando),[Rank: 92] Koki Ando (koki25ando),92.0
93,master,pao,https://www.kaggle.com/go5kuramubon,4,9,3,40102,Japan,Aichi,Nagoya,Data Scientist,Japanese company,2022-11,pao (go5kuramubon),[Rank: 93] pao (go5kuramubon),93.0
94,grandmaster,Mike Kim,https://www.kaggle.com/mikeskim,7,40,34,39920,United States,California,San Francisco,Data Scientist,Stealth,2022-11,Mike Kim (mikeskim),[Rank: 94] Mike Kim (mikeskim),94.0
95,expert,Harijs Ceriņš,https://www.kaggle.com/harijscerins,0,6,18,39863,Latvia,UNKOWN,Līvāni,R&D Engineer,Lightguide,2022-11,Harijs Ceriņš (harijscerins),[Rank: 95] Harijs Ceriņš (harijscerins),95.0
96,grandmaster,outrunner,https://www.kaggle.com/outrunner,7,15,5,39690,Taiwan,UNKOWN,Taipei,Data Scientist,YUAN,2022-11,outrunner (outrunner),[Rank: 96] outrunner (outrunner),96.0
97,grandmaster,Light,https://www.kaggle.com/berserker408,7,16,5,39279,China,Beijing,Beijing,Q,Q,2022-11,Light (berserker408),[Rank: 97] Light (berserker408),97.0
98,master,Jose Antonio Alatorre,https://www.kaggle.com/joseantonioalatorre,2,1,0,38944,Austria,Vienna,Vienna,Quantitative Research,UNKOWN,2022-11,Jose Antonio Alatorre (joseantonioalatorre),[Rank: 98] Jose Antonio Alatorre (joseantonioalatorre),98.0
99,expert,Marek Nurzynski,https://www.kaggle.com/marek3000,0,5,23,38481,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,Marek Nurzynski (marek3000),[Rank: 99] Marek Nurzynski (marek3000),99.0
100,master,YujiAriyasu,https://www.kaggle.com/yujiariyasu,4,4,1,38397,Japan,Tokyo,Tokyo,Data Scientist,Aillis Inc.,2022-11,YujiAriyasu (yujiariyasu),[Rank: 100] YujiAriyasu (yujiariyasu),100.0
101,grandmaster,DIKW,https://www.kaggle.com/bestpredict,5,12,2,38303,China,UNKOWN,Beijing,Research Engineer ,UNKOWN,2022-11,DIKW (bestpredict),[Rank: 101] DIKW (bestpredict),101.0
102,grandmaster,hirune924,https://www.kaggle.com/hirune924,5,8,2,38261,Japan,Kanagawa,Yokohama,Researcher,NSSOL,2022-11,hirune924 (hirune924),[Rank: 102] hirune924 (hirune924),102.0
103,master,Prashant Kikani,https://www.kaggle.com/prashantkikani,1,2,17,38147,India,Karnataka,Bengaluru,Software Engineer,Instabase,2022-11,Prashant Kikani (prashantkikani),[Rank: 103] Prashant Kikani (prashantkikani),103.0
104,expert,AkiraIshikawa,https://www.kaggle.com/akiraishikawa,0,6,10,38076,Japan,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,AkiraIshikawa (akiraishikawa),[Rank: 104] AkiraIshikawa (akiraishikawa),104.0
105,grandmaster,Chun Ming Lee,https://www.kaggle.com/leecming,5,3,0,38009,Singapore,UNKOWN,UNKOWN,Data Science,H2O.ai,2022-11,Chun Ming Lee (leecming),[Rank: 105] Chun Ming Lee (leecming),105.0
106,master,Gleb,https://www.kaggle.com/bakeryproducts,4,3,0,37974,Australia,Tasmania,Nowhere Else,Deep Learning Engineer,UNKOWN,2022-11,Gleb (bakeryproducts),[Rank: 106] Gleb (bakeryproducts),106.0
107,grandmaster,nagiss,https://www.kaggle.com/nagiss,5,6,0,37947,Japan,Tokyo,Tokyo,Data Scientist,DeNA,2022-11,nagiss (nagiss),[Rank: 107] nagiss (nagiss),107.0
108,master,James Trotman,https://www.kaggle.com/jtrotman,4,33,13,37761,United Kingdom,England,UNKOWN,UNKOWN,UNKOWN,2022-11,James Trotman (jtrotman),[Rank: 108] James Trotman (jtrotman),108.0
109,master,Sirius,https://www.kaggle.com/trushk,3,9,3,37743,United States,California,Santa Clara,Senior Data Scientist,UNKOWN,2022-11,Sirius (trushk),[Rank: 109] Sirius (trushk),109.0
110,grandmaster,Ouranos,https://www.kaggle.com/ouranos,7,27,13,37371,Greece,UNKOWN,Athens,Data Scientist,Nodalpoint Systems,2022-11,Ouranos (ouranos),[Rank: 110] Ouranos (ouranos),110.0
111,grandmaster,Random_prediction,https://www.kaggle.com/rytisva88,5,13,1,37238,United States,District of Columbia,Washington,UNKOWN,UNKOWN,2022-11,Random_prediction (rytisva88),[Rank: 111] Random_prediction (rytisva88),111.0
112,master,Ulrich G.,https://www.kaggle.com/ulrich07,1,8,15,37123,France,Île-de-France,Palaiseau,Student,ENS-CACHAN & ENSAE Paris-Tech,2022-11,Ulrich G. (ulrich07),[Rank: 112] Ulrich G. (ulrich07),112.0
113,grandmaster,Tom Van de Wiele,https://www.kaggle.com/tvdwiele,7,1,0,36562,Norway,Innlandet,Gran,Senior Quantitative Researcher,G-Research,2022-11,Tom Van de Wiele (tvdwiele),[Rank: 113] Tom Van de Wiele (tvdwiele),113.0
114,expert,Manoj Prabhakar,https://www.kaggle.com/manojprabhaakr,0,4,19,36357,India,Karnataka,Bengaluru,Data Scientist,Philips,2022-11,Manoj Prabhakar (manojprabhaakr),[Rank: 114] Manoj Prabhakar (manojprabhaakr),114.0
115,master,The Nam,https://www.kaggle.com/namgalielei,3,7,1,36342,Vietnam,Hanoi,Hanoi,Data Scientist,Viettel Data Governance Department,2022-11,The Nam (namgalielei),[Rank: 115] The Nam (namgalielei),115.0
116,master,Ria~,https://www.kaggle.com/emiria,2,5,1,36254,China,Shanghai,Shanghai,求职......,UNKOWN,2022-11,Ria~ (emiria),[Rank: 116] Ria~ (emiria),116.0
117,master,UNKOWN,https://www.kaggle.com/hengck23,5,17,7,36066,Singapore,UNKOWN,UNKOWN,Z by HP Data Science Global Ambassador,UNKOWN,2022-11,UNKOWN (hengck23),[Rank: 117] UNKOWN (hengck23),117.0
118,grandmaster,NguyenThanhNhan,https://www.kaggle.com/andy2709,8,16,2,35524,Vietnam,Ho Chi Minh City,Ho Chi Minh City,Data Scientist,UNKOWN,2022-11,NguyenThanhNhan (andy2709),[Rank: 118] NguyenThanhNhan (andy2709),118.0
119,expert,yuuniee,https://www.kaggle.com/yuuniekiri,1,0,2,34897,South Korea,Seoul,Seoul,ML Engineer,UNKOWN,2022-11,yuuniee (yuuniekiri),[Rank: 119] yuuniee (yuuniekiri),119.0
120,master,LeonShangguan,https://www.kaggle.com/leonshangguan,2,8,5,34819,United States,New York,New York,UNKOWN,UNKOWN,2022-11,LeonShangguan (leonshangguan),[Rank: 120] LeonShangguan (leonshangguan),120.0
121,master,Firas Baba,https://www.kaggle.com/rinnqd,2,9,1,34771,United Kingdom,England,London,Quant researcher,QRT,2022-11,Firas Baba (rinnqd),[Rank: 121] Firas Baba (rinnqd),121.0
122,master,colum2131,https://www.kaggle.com/columbia2131,4,4,3,34529,Japan,Fukuoka,Fukuoka,Student,Kyushu Univ.,2022-11,colum2131 (columbia2131),[Rank: 122] colum2131 (columbia2131),122.0
123,master,fam_taro,https://www.kaggle.com/yukkyo,4,4,1,34143,Japan,Kyoto,Kyoto,Engineer,Rist Inc.,2022-11,fam_taro (yukkyo),[Rank: 123] fam_taro (yukkyo),123.0
124,expert,Kamal Das,https://www.kaggle.com/kmldas,0,2,5,33954,India,Karnataka,Bengaluru,Learning,Everywhere,2022-11,Kamal Das (kmldas),[Rank: 124] Kamal Das (kmldas),124.0
